date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:26:03	29/29	---M--	200	added ('OK')	text/plain	date:Wed,%2013%20Dec%202023%2021:05:33%20GMT	https://comicbookreadingorders.com/robots.txt		(from )
22:26:04	72819/72819	---M-Z	200	added ('OK')	text/html	etag:%2215-1789652836;br%22	https://comicbookreadingorders.com/	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/index.html	(from )
22:26:05	2557/2557	---M-Z	200	added ('OK')	application/json	etag:%22403-1789658764;br%22	https://comicbookreadingorders.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcomicbookreadingorders.com%2F	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/wp-json/oembed/1.0/embed1845.json	(from https://comicbookreadingorders.com/)
22:26:05	759/759	---M-Z	200	added ('OK')	application/rss+xml	etag:%229d312f20c58dadf5fcf0f789deda1123%22	https://comicbookreadingorders.com/comments/feed/	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/comments/feed/index.html	(from https://comicbookreadingorders.com/)
22:26:05	1098/1098	---M-Z	200	added ('OK')	application/rss+xml	etag:%229d312f20c58dadf5fcf0f789deda1123%22	https://comicbookreadingorders.com/feed/	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/feed/index.html	(from https://comicbookreadingorders.com/)
22:26:06	2765/2765	---M-Z	200	added ('OK')	text/xml	etag:%22404-1789658765;br%22	https://comicbookreadingorders.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcomicbookreadingorders.com%2F&format=xml	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/wp-json/oembed/1.0/embedf6c3	(from https://comicbookreadingorders.com/)
22:26:06	3028/3028	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Sep%202026%2002:04:55%20GMT	https://comicbookreadingorders.com/wp-content/plugins/patron-plugin-pro/plugin/lib/patreon-connect/assets/css/app.css?ver=1.9.17	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/wp-content/plugins/patron-plugin-pro/plugin/lib/patreon-connect/assets/css/app7b47.css	(from https://comicbookreadingorders.com/)
22:26:06	158622/158622	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20May%202024%2021:59:49%20GMT	https://comicbookreadingorders.com/wp-content/uploads/banner.jpg	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/wp-content/uploads/banner.jpg	(from https://comicbookreadingorders.com/)
22:26:07	193046/193046	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Sep%202026%2000:50:29%20GMT	https://comicbookreadingorders.com/wp-content/themes/pro/framework/dist/css/site/stacks/integrity-light.css?ver=6.9.4	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/wp-content/themes/pro/framework/dist/css/site/stacks/integrity-lightb34e.css	(from https://comicbookreadingorders.com/)
22:26:07	223/223	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20Apr%202024%2018:14:26%20GMT	https://comicbookreadingorders.com/wp-content/themes/pro-child/style.css?ver=6.9.4	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/wp-content/themes/pro-child/styleb34e.css	(from https://comicbookreadingorders.com/)
22:26:07	5975/5975	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Sep%202026%2002:04:55%20GMT	https://comicbookreadingorders.com/wp-content/plugins/patron-plugin-pro/plugin/lib/patron-button-and-widgets-by-codebard/plugin/templates/default/style.css?ver=7.1	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/wp-content/plugins/patron-plugin-pro/plugin/lib/patron-button-and-widgets-by-codebard/plugin/templates/default/style4d6f.css	(from https://comicbookreadingorders.com/)
22:26:07	2053/2053	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Sep%202026%2002:04:55%20GMT	https://comicbookreadingorders.com/wp-content/plugins/patron-plugin-pro/plugin/templates/default/style.css?ver=2.0.4	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/wp-content/plugins/patron-plugin-pro/plugin/templates/default/style1c12.css	(from https://comicbookreadingorders.com/)
22:26:10	115460/115460	---M--	200	added ('OK')	font/woff2	date:Wed,%2016%20Sep%202026%2000:50:26%20GMT	https://comicbookreadingorders.com/wp-content/themes/pro/cornerstone/assets/fonts/fa-brands-400.woff2?ver=7.3.1	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/wp-content/themes/pro/cornerstone/assets/fonts/fa-brands-400d5a8.woff2	(from https://comicbookreadingorders.com/)
22:26:10	87553/87553	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2028%20Aug%202023%2017:14:23%20GMT	https://comicbookreadingorders.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://comicbookreadingorders.com/)
22:26:11	281384/281384	---M--	200	added ('OK')	font/woff2	date:Wed,%2016%20Sep%202026%2000:50:26%20GMT	https://comicbookreadingorders.com/wp-content/themes/pro/cornerstone/assets/fonts/fa-solid-900.woff2?ver=7.3.1	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/wp-content/themes/pro/cornerstone/assets/fonts/fa-solid-900d5a8.woff2	(from https://comicbookreadingorders.com/)
22:26:11	13577/13577	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2009%20Jun%202023%2005:49:24%20GMT	https://comicbookreadingorders.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://comicbookreadingorders.com/)
22:26:11	212/212	---M-Z	401	error ('Unauthorized')	application/json	date:Thu,%2017%20Sep%202026%2015:26:11%20GMT	https://comicbookreadingorders.com/wp-json/wp/v2/pages/23	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/wp-json/wp/v2/pages/23	(from https://comicbookreadingorders.com/)
22:26:12	25188/25188	---M--	200	added ('OK')	font/woff2	date:Thu,%2017%20Sep%202026%2002:04:55%20GMT	https://comicbookreadingorders.com/wp-content/plugins/patron-plugin-pro/plugin/lib/patreon-connect/assets/fonts/librefranklin-extrabold-webfont.woff2	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/wp-content/plugins/patron-plugin-pro/plugin/lib/patreon-connect/assets/fonts/librefranklin-extrabold-webfont.woff2	(from https://comicbookreadingorders.com/)
22:26:12	357880/357880	---M--	200	added ('OK')	font/woff2	date:Wed,%2016%20Sep%202026%2000:50:26%20GMT	https://comicbookreadingorders.com/wp-content/themes/pro/cornerstone/assets/fonts/fa-regular-400.woff2?ver=7.3.1	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/wp-content/themes/pro/cornerstone/assets/fonts/fa-regular-400d5a8.woff2	(from https://comicbookreadingorders.com/)
22:26:12	282762/282762	---MCZ	200	added ('OK')	application/json	etag:%22405-1789658771;br%22	https://comicbookreadingorders.com/wp-json/	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/wp-json/index.html	(from https://comicbookreadingorders.com/)
22:26:13	31996/31996	---M--	200	added ('OK')	font/woff	date:Thu,%2017%20Sep%202026%2002:04:55%20GMT	https://comicbookreadingorders.com/wp-content/plugins/patron-plugin-pro/plugin/lib/patreon-connect/assets/fonts/librefranklin-extrabold-webfont.woff	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/wp-content/plugins/patron-plugin-pro/plugin/lib/patreon-connect/assets/fonts/librefranklin-extrabold-webfont.woff	(from https://comicbookreadingorders.com/)
22:26:13	12447/12447	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2027%20Feb%202025%2015:18:34%20GMT	https://comicbookreadingorders.com/wp-content/uploads/cbro.circle.01.svg	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/wp-content/uploads/cbro.circle.01.svg	(from https://comicbookreadingorders.com/)
22:26:13	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20Sep%202026%2015:26:13%20GMT	http://comicbookreadingorders.com/wp-content/uploads/main.header.svg	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/wp-content/uploads/main.header.12.delayed	(from https://comicbookreadingorders.com/)
22:26:14	35359/35359	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2013%20Apr%202024%2018:14:28%20GMT	https://comicbookreadingorders.com/wp-content/uploads/main.header.svg	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/wp-content/uploads/main.header.svg	(from https://comicbookreadingorders.com/)
22:26:14	20098/20098	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20May%202024%2021:59:49%20GMT	https://comicbookreadingorders.com/wp-content/uploads/banner-300x46.jpg	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/wp-content/uploads/banner-300x46.jpg	(from https://comicbookreadingorders.com/)
22:26:14	70742/70742	---M-Z	200	added ('OK')	text/html	etag:%2231-1789652909;br%22	https://comicbookreadingorders.com/marvel/	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/marvel/index.html	(from https://comicbookreadingorders.com/)
22:26:15	83264/83264	---M-Z	200	added ('OK')	text/html	etag:%22109-1789653352;br%22	https://comicbookreadingorders.com/marvel/characters/	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/marvel/characters/index.html	(from https://comicbookreadingorders.com/)
22:26:15	163336/163336	---M-Z	200	added ('OK')	text/html	etag:%228-1789652794;br%22	https://comicbookreadingorders.com/marvel/events/	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/marvel/events/index.html	(from https://comicbookreadingorders.com/)
22:26:16	118615/118615	---M-Z	200	added ('OK')	text/html	etag:%2251-1789653033;br%22	https://comicbookreadingorders.com/marvel/marvel-master-reading-order/	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/marvel/marvel-master-reading-order/index.html	(from https://comicbookreadingorders.com/)
22:26:16	70955/70955	---M-Z	200	added ('OK')	text/html	etag:%2294-1789653230;br%22	https://comicbookreadingorders.com/dc/	D:/code_dao/reading_orders/tham_khao/reading-orders/comicbookreadingorders.com/dc/index.html	(from https://comicbookreadingorders.com/)
